score,attempts,timeSpentSeconds,correct,total,status
96,3,558,35,38,mastered
85,7,1232,10,11,mastered
39,1,158,10,24,weak
87,1,148,24,26,mastered
75,8,1312,9,13,developing
41,1,185,7,17,weak
44,5,1175,8,16,weak
39,2,496,9,22,weak
74,6,1428,8,10,developing
74,7,1365,18,23,developing
100,7,1834,24,24,mastered
69,2,532,15,21,developing
95,8,736,34,35,mastered
62,2,262,7,11,developing
95,1,147,33,34,mastered
46,8,1424,9,19,weak
89,4,668,26,29,mastered
80,4,1112,28,35,developing
43,7,1372,12,27,weak
71,2,192,18,25,developing
69,9,1080,15,23,developing
61,2,486,7,10,developing
59,4,1136,9,14,weak
68,4,672,11,17,developing
56,5,1240,7,14,weak
82,5,1355,29,36,developing
66,7,1974,7,11,developing
49,2,186,9,17,weak
73,8,664,15,19,developing
62,9,2655,15,24,developing
78,2,250,21,28,developing
83,4,1196,23,28,developing
94,8,1744,18,19,mastered
79,8,856,26,35,developing
45,4,1024,6,13,weak
62,8,1440,21,33,developing
72,6,1446,19,26,developing
79,3,249,17,20,developing
83,4,516,27,33,developing
86,6,1350,31,35,mastered
27,9,1755,10,31,weak
29,8,1432,5,16,weak
63,8,1984,17,28,weak
93,5,1475,33,36,mastered
66,6,1716,22,35,developing
45,6,1392,13,26,weak
60,1,298,14,24,developing
100,5,560,30,31,mastered
85,2,366,11,12,mastered
76,7,1820,9,11,developing
100,7,1057,30,31,mastered
81,8,1304,25,31,developing
53,4,972,7,15,weak
54,2,556,18,31,weak
92,6,552,25,26,mastered
82,1,118,33,38,developing
77,8,2040,15,20,developing
21,2,454,3,15,weak
35,5,1390,15,36,weak
41,4,332,5,11,weak
51,9,1467,13,23,weak
64,3,282,16,23,developing
100,1,83,27,28,mastered
60,8,1536,15,25,developing
44,5,1480,8,16,weak
75,1,209,27,36,developing
41,6,1200,12,29,weak
90,4,772,13,15,mastered
37,1,108,12,35,weak
61,9,2358,18,30,weak
77,8,1248,27,35,developing
83,4,1084,13,15,developing
72,3,306,9,12,developing
78,4,804,20,27,developing
65,1,171,19,28,developing
63,8,1208,13,19,developing
52,5,705,12,23,weak
56,5,595,13,25,weak
72,1,259,8,12,developing
99,1,279,23,23,mastered
83,9,2430,13,16,developing
76,4,764,22,28,developing
70,4,320,22,29,developing
85,5,490,28,33,mastered
70,9,2466,20,29,developing
49,8,1208,13,25,weak
36,8,2008,12,34,weak
32,4,516,11,30,weak
56,8,2232,6,12,weak
93,5,1380,22,23,mastered
85,8,1824,15,17,mastered
56,6,528,16,31,weak
69,6,1722,19,27,developing
48,6,1626,14,29,weak
70,7,1148,15,21,developing
80,3,876,28,36,developing
66,1,261,25,39,developing
60,1,239,17,30,weak
74,1,86,27,37,developing
57,9,2484,21,34,weak
54,2,250,10,19,weak
71,5,950,27,39,developing
55,3,342,7,13,weak
22,8,1224,9,39,weak
72,7,1127,11,15,developing
68,4,1100,12,18,developing
94,7,1729,32,33,mastered
92,2,236,30,32,mastered
67,1,213,25,36,developing
57,4,796,11,18,weak
100,2,214,17,17,mastered
76,8,2232,27,35,developing
79,6,606,9,11,developing
71,1,203,19,25,developing
77,3,831,16,19,developing
60,1,235,22,39,weak
27,4,376,9,33,weak
89,1,256,24,27,mastered
41,8,1648,10,25,weak
72,7,1162,12,17,developing
62,2,194,20,30,developing
72,7,1834,19,25,developing
87,7,2058,16,17,mastered
66,4,716,21,33,developing
78,1,231,10,13,developing
79,9,990,30,37,developing
86,9,2511,19,23,developing
82,2,374,18,22,developing
53,2,340,20,34,weak
77,8,2168,23,31,developing
42,9,2637,7,15,weak
88,4,448,29,34,mastered
62,1,226,15,24,developing
67,2,326,20,28,developing
100,7,1855,24,25,mastered
75,5,1200,13,18,developing
38,8,720,10,24,weak
48,6,1182,9,18,weak
44,9,1449,17,36,weak
45,3,861,9,17,weak
72,7,1022,9,12,developing
67,5,755,27,37,developing
54,4,516,21,37,weak
87,1,125,26,30,mastered
96,5,1105,38,39,mastered
59,4,368,20,35,weak
67,5,610,25,35,developing
48,2,438,14,28,weak
45,1,284,10,21,weak
82,5,1245,22,27,developing
67,1,124,23,37,developing
97,6,1374,32,33,mastered
95,5,970,23,23,mastered
94,1,107,32,33,mastered
98,2,270,10,10,mastered
81,4,716,19,24,developing
